geoName,Donald Trump,Joe Biden
Abilene-Sweetwater TX,57,43
Ain,71,29
Aisne,78,22
Albany GA,59,41
Albany-Schenectady-Troy NY,58,42
Albuquerque-Santa Fe NM,61,39
Alexandria LA,56,44
Allier,61,39
Alpena MI,56,44
Alpes-Maritimes,66,34
Alpes-de-Haute-Provence,66,34
Amarillo TX,57,43
Anchorage AK,56,44
Ardeche,72,28
Ardennes,70,30
Ariege,65,35
Atlanta GA,57,43
Aube,69,31
Aude,72,28
Augusta GA,56,44
Austin TX,58,42
Aveyron,85,15
Bakersfield CA,67,33
Baltimore MD,58,42
Bangor ME,53,47
Bas-Rhin,69,31
Baton Rouge LA,56,44
Beaumont-Port Arthur TX,60,40
Bend OR,62,38
"Billings, MT",53,47
Biloxi-Gulfport MS,60,40
Binghamton NY,58,42
Birmingham AL,57,43
Bluefield-Beckley-Oak Hill WV,61,39
Boise ID,55,45
Boston MA-Manchester NH,57,43
Bouches-du-Rhone,68,32
Bowling Green KY,56,44
Buffalo NY,60,40
Burlington VT-Plattsburgh NY,53,47
Butte-Bozeman MT,57,43
Calvados,67,33
Cantal,62,38
Casper-Riverton WY,55,45
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,59,41
Champaign & Springfield-Decatur IL,56,44
Charente,63,37
Charente-Maritime,70,30
Charleston SC,57,43
Charleston-Huntington WV,53,47
Charlotte NC,57,43
Charlottesville VA,53,47
Chattanooga TN,55,45
Cher,70,30
Cheyenne WY-Scottsbluff NE,53,47
Chicago IL,60,40
Chico-Redding CA,57,43
Cincinnati OH,56,44
Clarksburg-Weston WV,59,41
Cleveland-Akron (Canton) OH,59,41
Colorado Springs-Pueblo CO,60,40
Columbia SC,58,42
Columbia-Jefferson City MO,56,44
Columbus GA,59,41
Columbus OH,57,43
Columbus-Tupelo-West Point MS,56,44
Corpus Christi TX,58,42
Correze,60,40
Corse-du-Sud,67,33
Cotes-d'Armor,73,27
Creuse,59,41
Côte-d'Or,66,34
Dallas-Ft. Worth TX,59,41
Davenport IA-Rock Island-Moline IL,57,43
Dayton OH,58,42
Denver CO,57,43
Des Moines-Ames IA,55,45
Detroit MI,57,43
Deux-Sevres,65,35
Dordogne,76,24
Dothan AL,57,43
Doubs,72,28
Drôme,69,31
Duluth MN-Superior WI,59,41
El Paso TX,63,37
Elmira NY,55,45
Erie PA,55,45
Essonne,70,30
Eugene OR,55,45
Eure,75,25
Eure-et-Loir,68,32
Eureka CA,55,45
