date,Joe Biden,Donald Trump,Trump,Republicans,Democrats,AOC,Bernie Sanders,Elizabeth Warren,Michael Bloomberg,Roger Stone,Fox News
2020-04-01,0,19,23,0,0,0,0,0,0,0,0
2020-04-02,0,0,12,0,0,0,0,0,0,0,17
2020-04-03,0,34,20,0,0,0,0,0,0,0,28
2020-04-04,0,0,0,0,0,0,0,0,0,0,42
2020-04-05,0,0,34,0,0,0,0,0,0,0,0
2020-04-06,0,0,18,0,0,0,0,0,0,0,27
2020-04-07,0,0,19,0,0,0,0,0,100,0,32
2020-04-08,58,0,23,0,0,0,0,0,0,0,100
2020-04-09,0,0,15,0,0,0,0,0,0,0,33
2020-04-10,0,0,0,0,0,0,0,0,0,0,34
2020-04-11,0,0,16,0,0,0,100,0,0,0,50
2020-04-12,47,0,17,0,0,0,0,0,0,0,42
2020-04-13,0,0,12,40,0,0,0,0,0,0,27
2020-04-14,0,0,21,0,0,0,62,0,0,0,0
2020-04-15,37,0,17,0,0,0,0,0,0,0,29
2020-04-16,38,28,20,0,0,0,0,0,0,0,36
2020-04-17,0,0,20,0,78,0,0,0,0,0,28
2020-04-18,51,0,27,0,0,0,0,0,0,0,47
2020-04-19,0,0,16,0,0,0,0,0,0,0,37
2020-04-20,0,30,19,0,0,0,0,77,0,0,0
2020-04-21,29,0,27,0,0,0,0,0,0,0,0
2020-04-22,32,0,12,0,0,0,0,0,0,0,0
2020-04-23,0,0,27,0,0,0,0,0,0,0,0
2020-04-24,0,33,22,0,0,0,0,0,0,0,39
2020-04-25,0,0,18,0,0,0,0,0,0,0,0
2020-04-26,48,41,15,0,0,0,0,0,0,0,32
2020-04-27,0,32,14,0,0,0,0,0,0,0,0
2020-04-28,35,0,20,0,0,0,0,81,0,0,0
2020-04-29,35,0,14,100,0,0,0,0,0,0,0
2020-04-30,63,0,13,0,65,0,0,0,0,0,0
2020-05-01,0,0,25,0,0,78,0,0,0,0,0
2020-05-02,0,0,17,0,0,0,0,0,0,0,39
2020-05-03,0,35,23,0,0,0,0,0,0,0,53
2020-05-04,0,0,20,0,0,0,0,0,0,0,0
2020-05-05,0,25,57,0,0,0,0,0,0,0,26
2020-05-06,31,0,12,0,0,0,0,0,0,0,43
2020-05-07,0,32,22,0,0,0,0,0,0,0,0
2020-05-08,0,80,23,0,0,0,0,0,0,0,0
2020-05-09,0,0,0,0,0,0,0,0,0,0,0
2020-05-10,0,0,48,0,0,0,0,0,0,0,58
2020-05-11,0,0,21,0,88,0,0,0,0,0,0
2020-05-12,35,0,19,0,0,0,0,0,0,0,0
2020-05-13,35,0,14,0,0,0,0,0,0,0,0
2020-05-14,0,0,14,0,0,0,0,0,0,0,29
2020-05-15,40,0,13,45,0,0,0,0,0,0,36
2020-05-16,0,0,0,0,0,0,0,0,0,0,0
2020-05-17,0,0,20,0,0,0,0,0,0,0,0
2020-05-18,0,0,13,0,0,0,0,0,0,0,40
2020-05-19,0,0,46,0,0,0,0,0,0,0,0
2020-05-20,0,0,0,0,0,0,0,0,0,0,34
2020-05-21,0,0,32,0,0,90,0,0,0,0,0
2020-05-22,0,0,14,0,70,0,0,0,0,0,32
2020-05-23,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,41,0,16,0,0,0,0,0,0,0,0
2020-05-25,0,42,35,0,0,0,0,0,0,0,41
2020-05-26,0,0,23,0,0,0,0,0,0,0,36
2020-05-27,0,27,11,0,0,0,0,0,0,0,26
2020-05-28,0,0,20,0,0,0,0,0,0,0,30
2020-05-29,42,27,17,55,58,0,0,0,0,0,27
2020-05-30,0,0,19,0,0,0,0,0,0,0,27
2020-05-31,0,23,23,0,0,0,0,0,0,0,0
2020-06-01,0,23,21,0,0,0,0,0,0,0,81
2020-06-02,0,37,41,0,0,0,0,0,0,0,23
2020-06-03,29,55,52,0,0,0,0,0,0,0,37
2020-06-04,0,31,12,0,0,0,0,0,0,0,0
2020-06-05,0,29,28,0,0,0,0,0,0,0,0
2020-06-06,0,0,22,0,0,0,0,0,0,0,59
2020-06-07,46,0,43,0,0,0,0,0,0,0,0
2020-06-08,0,0,21,0,0,0,0,0,0,0,33
2020-06-09,0,29,37,0,65,0,0,0,0,0,33
2020-06-10,0,35,12,0,0,0,0,0,0,90,48
2020-06-11,0,0,25,0,0,0,0,0,0,0,47
2020-06-12,0,0,33,0,0,0,0,0,0,0,39
2020-06-13,0,45,25,56,0,0,0,0,0,0,0
2020-06-14,0,0,18,0,0,0,0,0,0,0,0
2020-06-15,0,0,23,0,78,0,0,0,0,0,0
2020-06-16,44,0,20,0,0,0,0,0,0,0,32
2020-06-17,40,0,26,0,0,0,0,0,0,0,36
2020-06-18,38,33,34,0,0,86,0,0,0,0,34
2020-06-19,0,0,33,0,0,0,0,0,0,0,46
2020-06-20,0,0,41,0,0,0,0,0,0,0,0
2020-06-21,0,0,35,0,0,92,0,0,0,0,0
2020-06-22,0,0,22,0,0,0,0,0,0,0,0
2020-06-23,0,0,24,56,0,0,0,0,0,0,38
2020-06-24,0,0,30,0,0,0,0,0,0,0,0
2020-06-25,0,0,15,0,0,0,0,0,0,0,40
2020-06-26,0,0,28,0,0,0,0,0,0,0,37
2020-06-27,0,0,14,0,0,0,0,0,0,0,33
2020-06-28,0,81,29,0,0,0,0,0,0,0,0
2020-06-29,42,33,28,0,0,0,0,0,0,0,0
2020-06-30,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,0,38,28,0,0,0,0,0,0,0,41
2020-07-02,0,0,36,0,0,0,0,0,0,0,65
2020-07-03,0,0,22,69,0,0,0,0,0,0,36
2020-07-04,0,0,26,0,0,0,0,0,0,0,0
2020-07-05,0,41,18,0,0,0,85,0,0,0,0
2020-07-06,0,0,22,0,78,0,0,0,0,0,0
2020-07-07,0,0,20,48,0,0,0,85,0,0,0
2020-07-08,0,0,28,0,0,0,0,0,0,0,0
2020-07-09,0,0,34,0,77,0,0,0,0,0,36
2020-07-10,38,0,16,49,0,0,0,0,0,0,53
2020-07-11,0,0,32,0,0,0,0,0,0,100,0
2020-07-12,0,0,50,0,0,0,0,0,0,0,39
2020-07-13,0,0,16,46,0,0,0,0,0,0,0
2020-07-14,38,0,49,0,0,0,0,0,0,0,38
2020-07-15,34,30,30,0,0,76,0,0,0,0,31
2020-07-16,0,0,43,0,0,0,0,0,0,0,0
2020-07-17,0,37,32,0,0,0,0,0,0,0,38
2020-07-18,0,0,26,0,0,0,0,0,0,0,0
2020-07-19,56,0,28,0,86,0,0,0,0,0,40
2020-07-20,0,32,20,0,0,0,0,0,0,0,40
2020-07-21,42,38,33,0,68,0,0,0,0,0,0
2020-07-22,0,0,27,0,93,0,0,0,0,0,44
2020-07-23,35,0,21,0,0,0,0,0,0,0,32
