date,Joe Biden,Donald Trump,Trump,Republicans,Democrats,A.O.C.,AOC,Bernie Sanders,Elizabeth Warren,Mayor Pete,Michael Bloomberg,Roger Stone,Fox News
2020-04-01,3,13,13,15,14,0,6,7,10,0,0,0,82
2020-04-02,4,12,12,10,17,0,4,6,0,0,34,0,77
2020-04-03,5,10,11,20,20,0,6,2,10,0,35,0,69
2020-04-04,5,12,12,29,12,0,7,4,23,0,0,0,66
2020-04-05,3,12,14,29,17,0,10,4,11,0,0,0,66
2020-04-06,3,12,12,10,23,0,9,4,0,0,0,0,70
2020-04-07,4,13,12,31,23,0,8,4,10,0,0,0,66
2020-04-08,19,13,13,30,33,0,6,100,15,0,34,0,66
2020-04-09,13,12,11,15,25,0,8,29,0,0,0,0,66
2020-04-10,7,9,10,11,26,0,11,11,10,0,0,0,58
2020-04-11,5,9,10,12,21,0,4,7,12,0,0,2,57
2020-04-12,7,10,8,22,20,0,8,4,16,0,38,0,61
2020-04-13,7,13,12,14,19,0,6,6,9,0,33,2,70
2020-04-14,9,14,17,29,22,0,3,10,14,0,0,3,57
2020-04-15,9,17,17,33,38,0,6,9,28,76,0,2,58
2020-04-16,6,15,16,19,26,0,9,3,19,0,0,4,65
2020-04-17,8,13,15,20,20,0,4,4,10,0,34,2,54
2020-04-18,5,13,12,34,36,0,5,2,0,0,0,8,51
2020-04-19,6,13,14,27,30,0,7,2,11,0,0,4,52
2020-04-20,4,8,10,15,22,0,4,2,10,0,0,2,56
2020-04-21,5,13,13,27,32,0,11,3,10,0,0,4,60
2020-04-22,6,9,15,32,29,0,13,1,0,0,73,2,51
2020-04-23,3,10,15,30,27,0,22,2,93,0,0,2,57
2020-04-24,5,16,23,21,31,0,9,1,35,0,0,2,54
2020-04-25,7,13,15,23,17,0,12,2,17,0,0,2,47
2020-04-26,7,14,13,24,36,0,7,4,17,0,0,2,46
2020-04-27,6,8,11,16,21,0,5,2,0,0,0,0,45
2020-04-28,8,9,9,11,24,0,10,2,21,0,0,2,53
2020-04-29,10,10,9,20,23,0,9,2,10,0,0,4,45
2020-04-30,9,7,9,14,21,0,4,2,28,0,33,3,56
2020-05-01,16,8,8,35,12,0,6,1,24,0,0,4,45
2020-05-02,11,5,8,39,8,0,5,1,27,0,0,2,43
2020-05-03,7,10,8,23,17,0,3,2,28,0,0,2,41
2020-05-04,4,8,7,39,22,0,6,2,14,0,0,2,53
2020-05-05,5,9,8,45,18,0,8,2,30,0,30,0,43
2020-05-06,6,8,7,19,25,0,9,2,19,0,0,0,43
2020-05-07,6,9,8,25,29,0,9,2,29,0,0,4,44
2020-05-08,4,9,8,10,22,0,10,4,19,0,0,2,47
2020-05-09,4,9,7,22,21,0,7,2,11,0,0,2,41
2020-05-10,5,7,8,12,26,0,4,3,12,0,0,5,42
2020-05-11,2,10,8,20,23,0,6,1,60,0,0,2,44
2020-05-12,5,11,10,20,55,0,6,2,44,0,0,2,52
2020-05-13,4,11,9,10,25,0,6,3,24,0,0,3,51
2020-05-14,4,8,8,39,22,82,10,2,24,0,0,2,44
2020-05-15,5,9,9,31,23,0,6,2,10,0,34,0,45
2020-05-16,8,12,9,52,31,0,7,4,11,0,39,0,43
2020-05-17,3,11,9,23,39,0,7,4,51,0,0,2,40
2020-05-18,5,10,10,10,19,0,7,5,38,0,0,0,44
2020-05-19,4,13,12,30,20,0,9,1,34,0,0,0,49
2020-05-20,4,7,10,10,35,0,7,2,10,0,51,2,44
2020-05-21,3,7,8,10,31,0,11,0,25,0,0,2,52
2020-05-22,18,11,10,10,28,0,3,3,31,0,0,0,45
2020-05-23,18,10,9,23,23,0,3,2,39,0,40,0,38
2020-05-24,17,8,9,12,29,0,4,2,34,0,40,0,38
2020-05-25,7,12,9,12,17,0,10,2,17,0,39,0,34
2020-05-26,10,10,9,25,13,0,6,1,15,0,34,2,48
2020-05-27,9,12,12,30,20,0,4,3,29,0,0,0,46
2020-05-28,7,11,14,25,15,0,5,2,15,0,0,0,50
2020-05-29,8,25,21,36,38,0,5,2,35,84,35,0,52
2020-05-30,4,19,19,28,22,0,8,2,22,0,0,0,96
2020-05-31,4,28,21,17,32,0,5,2,11,0,0,2,70
2020-06-01,9,38,31,21,31,0,14,2,20,0,0,0,76
2020-06-02,13,37,37,47,38,0,3,4,15,0,35,2,80
2020-06-03,8,29,30,44,34,0,9,4,38,0,0,0,67
2020-06-04,6,27,23,44,22,0,7,4,24,0,0,2,56
2020-06-05,6,20,20,64,46,0,6,5,57,79,33,0,54
2020-06-06,9,23,19,39,42,0,5,3,44,0,0,2,48
2020-06-07,9,18,16,85,17,0,8,4,33,0,0,0,51
2020-06-08,8,22,16,28,59,0,13,5,55,76,0,0,58
2020-06-09,13,16,14,70,100,0,8,9,100,75,32,0,45
2020-06-10,6,12,14,50,54,0,10,3,10,80,0,2,55
2020-06-11,8,16,14,41,60,0,12,1,0,0,35,0,47
2020-06-12,9,16,14,47,36,0,3,2,10,0,0,3,54
2020-06-13,7,17,15,47,32,0,10,2,11,0,0,0,49
2020-06-14,10,28,23,64,40,0,5,2,11,0,0,0,63
2020-06-15,5,22,18,56,30,0,6,1,10,0,35,0,63
2020-06-16,6,17,15,15,25,0,3,5,20,0,0,2,54
2020-06-17,5,11,15,31,49,0,8,3,20,0,0,2,56
2020-06-18,4,16,17,31,33,0,3,1,0,0,0,2,63
2020-06-19,5,14,18,48,29,0,8,1,10,0,0,0,51
2020-06-20,10,15,28,41,40,0,7,2,0,94,40,0,45
2020-06-21,12,24,37,48,30,0,21,3,23,0,41,2,59
2020-06-22,8,14,19,21,41,0,18,1,15,0,0,2,54
2020-06-23,6,17,18,41,30,0,49,2,10,0,0,2,58
2020-06-24,6,16,15,36,30,0,82,3,10,0,0,6,51
2020-06-25,7,15,14,31,28,0,37,1,0,0,0,2,58
2020-06-26,11,14,13,37,32,0,13,2,21,0,0,3,50
2020-06-27,9,23,15,41,26,0,10,2,11,0,0,4,44
2020-06-28,7,43,24,23,37,0,9,2,11,0,0,5,49
2020-06-29,8,38,22,16,29,0,9,3,10,0,36,4,52
2020-06-30,7,20,17,53,31,0,8,1,10,0,36,4,55
2020-07-01,10,15,15,32,36,0,9,1,10,0,0,2,58
2020-07-02,7,17,15,27,24,0,16,1,0,0,0,2,51
2020-07-03,8,13,15,23,14,0,5,1,0,0,0,2,42
2020-07-04,5,24,24,19,28,0,19,2,0,0,0,3,56
2020-07-05,8,18,18,25,28,0,7,2,12,0,0,3,53
2020-07-06,9,14,16,46,18,0,18,1,0,0,0,2,56
2020-07-07,5,16,17,21,28,0,6,1,20,0,0,4,52
